sport,sport_type,sport_location,city,region,latitude,longitude
jeu modulaire,multi-sport,,sherbrooke,québec,5687267.99224551,-8005468.90760882
jeu modulaire,multi-sport,,sherbrooke,québec,5683828.74591061,-8005786.56032076
jeu modulaire,multi-sport,,sherbrooke,québec,5686935.94176145,-7998934.64737954
jeu modulaire,multi-sport,,sherbrooke,québec,5686955.4431469,-7998926.45601313
jeu modulaire,multi-sport,,sherbrooke,québec,5688226.52265767,-7997699.39163669
jeu modulaire,multi-sport,,sherbrooke,québec,5688218.11087239,-7997716.6068252
jeu modulaire,multi-sport,,sherbrooke,québec,5685022.22509395,-8004288.60548243
jeu modulaire,multi-sport,,sherbrooke,québec,5686714.28487405,-8000994.77540794
jeu modulaire,multi-sport,,sherbrooke,québec,5683593.43719098,-8000556.25099586
jeu modulaire,multi-sport,,sherbrooke,québec,5682382.49537067,-8012017.33513575
jeu modulaire,multi-sport,,sherbrooke,québec,5683867.2214004,-8006937.25792254
jeu modulaire,multi-sport,,sherbrooke,québec,5682377.90963085,-8012022.59265428
jeu modulaire,multi-sport,,sherbrooke,québec,5689526.13295042,-8003086.61152498
soccer,ball sports,couturier 1,sherbrooke,québec,5688958.08101954,-8001487.32235769
soccer,ball sports,andré-viger 1,sherbrooke,québec,5686466.11453303,-8009363.35006874
soccer,ball sports,saint-alphonse 1,sherbrooke,québec,5687188.39580047,-8005623.61333228
soccer,ball sports,atto-beaver 2,sherbrooke,québec,5680867.97181305,-7998734.5482528
soccer,ball sports,central 1,sherbrooke,québec,5677757.9843797,-8014855.05839903
soccer,ball sports,nault 1,sherbrooke,québec,5695646.75793579,-8008396.79324497
soccer,ball sports,central 3,sherbrooke,québec,5677558.82833359,-8015297.44865729
soccer,ball sports,école de la montée - pavillon le ber,sherbrooke,québec,5686149.44360801,-8000081.97849007
soccer,ball sports,debonair 2,sherbrooke,québec,5689603.76603451,-8003052.98633751
soccer,ball sports,atto-beaver 3,sherbrooke,québec,5680971.66919429,-7998679.73756038
soccer,ball sports,butte-aux-bouleaux 1,sherbrooke,québec,5680170.23015051,-8021070.45496413
soccer,ball sports,séminaire salésien,sherbrooke,québec,5684512.55451636,-8009622.44740998
soccer,ball sports,bureau 1,sherbrooke,québec,5683657.43784711,-8000656.4927084
soccer,ball sports,olympique 3,sherbrooke,québec,5686966.3312363,-8002251.74318213
soccer,ball sports,base de plein air andré-nadeau 1,sherbrooke,québec,5673990.84871793,-8014045.08357028
soccer,ball sports,saint-alphonse 2b,sherbrooke,québec,5687092.20768263,-8005405.37642563
soccer,ball sports,belvédère 1,sherbrooke,québec,5680506.34766764,-8002909.21879464
soccer,ball sports,jardins-fleuris 1,sherbrooke,québec,5687203.99026913,-7999641.85319832
soccer,ball sports,marie-reine 1,sherbrooke,québec,5682985.53233082,-8000250.60534911
soccer,ball sports,bishop's college school gillards,sherbrooke,québec,5680269.71411314,-7997148.66829183
soccer,ball sports,université de sherbrooke stade d'athlétisme,sherbrooke,québec,5680703.27115649,-8007288.96854312
soccer,ball sports,université de sherbrooke nouveau concorde,sherbrooke,québec,5681097.72945834,-8007834.95530316
soccer,ball sports,université de sherbrooke synthétique,sherbrooke,québec,5680808.28576318,-8007685.70604158
soccer,ball sports,bishop's college school grant,sherbrooke,québec,5679998.99915338,-7997994.733967
soccer,ball sports,école du phare,sherbrooke,québec,5681435.82407286,-8002420.74892138
soccer,ball sports,andré-viger 2,sherbrooke,québec,5686401.88624711,-8009377.71182098
soccer,ball sports,arsène-goyette 1,sherbrooke,québec,5682223.52165103,-8002519.26597101
soccer,ball sports,atto-beaver 1,sherbrooke,québec,5680834.99841974,-7998617.68819426
soccer,ball sports,école le triolet synthétique,sherbrooke,québec,5681403.62720196,-8009399.17770122
soccer,ball sports,central 2 synthétique,sherbrooke,québec,5677702.74655349,-8015230.22814091
soccer,ball sports,debonair 1,sherbrooke,québec,5689578.4744031,-8003330.33023726
soccer,ball sports,debonair 3,sherbrooke,québec,5689587.86215619,-8003446.87456672
soccer,ball sports,ernest-bergeron 2,sherbrooke,québec,5698114.31364114,-8009371.37584415
soccer,ball sports,ernest-bergeron 1,sherbrooke,québec,5698054.5615704,-8009307.94486312
soccer,ball sports,jacques-cartier 2,sherbrooke,québec,5683972.05500004,-8005887.17014929
soccer,ball sports,optimist 1,sherbrooke,québec,5679466.54566281,-7998499.42729467
soccer,ball sports,jean-claude-quirion 1,sherbrooke,québec,5684795.15207344,-8000343.77751048
soccer,ball sports,jules-richard 1,sherbrooke,québec,5675973.36992114,-8019393.26012764
soccer,ball sports,marie-médiatrice 1,sherbrooke,québec,5682804.04341383,-8009252.04250113
soccer,ball sports,olivier-chauveau 1,sherbrooke,québec,5682329.04470716,-8012047.56535807
soccer,ball sports,olympique synthétique 1,sherbrooke,québec,5686633.13792782,-8001856.23717656
soccer,ball sports,olympique 2,sherbrooke,québec,5686408.17706247,-8001805.7606592
soccer,ball sports,paul-marin 2,sherbrooke,québec,5682984.69486807,-8007451.06179722
soccer,ball sports,paul-marin 1,sherbrooke,québec,5682955.76425539,-8007320.64184739
soccer,ball sports,quintal 1,sherbrooke,québec,5689643.54591385,-7998457.71105703
soccer,ball sports,quintal 2,sherbrooke,québec,5689786.44606291,-7998481.98205233
soccer,ball sports,quintal 3,sherbrooke,québec,5689485.13942955,-7998580.961769
soccer,ball sports,université bishop's synthétique coulter field,sherbrooke,québec,5679210.24016355,-7997314.50272171
soccer,ball sports,saint-alphonse 2a,sherbrooke,québec,5687027.94456242,-8005409.25760652
soccer,ball sports,saint-charles-garnier 1,sherbrooke,québec,5686851.53487743,-8010232.36171715
soccer,ball sports,saint-boniface 1,sherbrooke,québec,5684573.2065178,-8007929.05097523
soccer,ball sports,école le triolet 1,sherbrooke,québec,5681782.57934047,-8008876.76029891
soccer,ball sports,école le triolet 2,sherbrooke,québec,5682069.62542636,-8008840.97212003
tennis,ball sports,,sherbrooke,québec,5688767.14796452,-8001483.0332582
tennis,ball sports,,sherbrooke,québec,5683864.73680546,-8005900.33764443
tennis,ball sports,,sherbrooke,québec,5688709.00366602,-7999892.52768798
tennis,ball sports,,sherbrooke,québec,5685666.9215703,-8000783.59870053
tennis,ball sports,,sherbrooke,québec,5686834.98394483,-8001035.02560616
tennis,ball sports,,sherbrooke,québec,5681711.77960045,-8013251.35533017
tennis,ball sports,,sherbrooke,québec,5682727.15733726,-8004443.20859573
tennis,ball sports,,sherbrooke,québec,5676005.17728906,-8019306.14835925
tennis,ball sports,,sherbrooke,québec,5680612.25184594,-8002837.72193629
tennis,ball sports,,sherbrooke,québec,5686694.09658737,-8010265.01951732
tennis,ball sports,,sherbrooke,québec,5687189.61421491,-8005401.34205856
tennis,ball sports,,sherbrooke,québec,5682832.66917088,-8007357.30845108
tennis,ball sports,,sherbrooke,québec,5680655.87035724,-8002876.80523126
tennis,ball sports,,sherbrooke,québec,5680590.46128126,-8012146.31045469
tennis,ball sports,,sherbrooke,québec,5670580.62202008,-8017500.7765319
tennis,ball sports,,sherbrooke,québec,5679846.33776165,-7999358.45917928
tennis,ball sports,,sherbrooke,québec,5684612.99674999,-8015907.68177443
tennis,ball sports,,sherbrooke,québec,5689609.55098276,-8003216.2667302
tennis,ball sports,,sherbrooke,québec,5679749.94685058,-8014036.0233236
tennis,ball sports,,sherbrooke,québec,5682242.43593998,-8004735.6976617
tennis,ball sports,,sherbrooke,québec,5682828.56143047,-8009094.85139276
tennis,ball sports,,sherbrooke,québec,5684969.04229627,-8001536.59090736
tennis,ball sports,,sherbrooke,québec,5685894.3914528,-7996595.61100892
tennis,ball sports,,sherbrooke,québec,5670581.3409612,-8017520.32935711
tennis,ball sports,,sherbrooke,québec,5696293.93003961,-8008952.94036612
tennis,ball sports,,sherbrooke,québec,5677659.01706249,-8014711.98915362
tennis,ball sports,,sherbrooke,québec,5677654.49692921,-8014669.00900118
baseball,ball sports,,sherbrooke,québec,5685751.50883754,-7998385.35557287
baseball,ball sports,,sherbrooke,québec,5688619.80073746,-7999768.08684894
baseball,ball sports,,sherbrooke,québec,5685674.60558343,-8003965.90796435
baseball,ball sports,,sherbrooke,québec,5685793.20407652,-8003962.43519893
football,ball sports,,sherbrooke,québec,5686577.69930273,-8001840.33701077
basketball,ball sports,,sherbrooke,québec,5685710.39829984,-8000776.40867562
football,ball sports,,sherbrooke,québec,5685733.51454451,-8003964.89854192
baseball,ball sports,,sherbrooke,québec,5689490.90924795,-7998723.85273403
baseball,ball sports,,sherbrooke,québec,5689504.14725122,-7998900.53342908
baseball,ball sports,,sherbrooke,québec,5686714.30098325,-8001101.46332725
basketball,ball sports,,sherbrooke,québec,5682388.99534454,-8012093.72419617
volleyball,ball sports,,sherbrooke,québec,5674149.30579849,-8014020.33764415
volleyball,ball sports,,sherbrooke,québec,5681615.59311,-8013098.57026644
volleyball,ball sports,,sherbrooke,québec,5685852.79743525,-7998276.79839232
volleyball,ball sports,,sherbrooke,québec,5685843.11197551,-7998258.44601213
volleyball,ball sports,,sherbrooke,québec,5687041.01414362,-8005598.27117391
volleyball,ball sports,,sherbrooke,québec,5681070.91906262,-7998858.93286473
volleyball,ball sports,,sherbrooke,québec,5681005.24235047,-7998854.95906795
volleyball,ball sports,,sherbrooke,québec,5681040.9542755,-7998905.25890115
volleyball,ball sports,,sherbrooke,québec,5674434.96762121,-8017642.95050952
baseball,ball sports,,sherbrooke,québec,5686822.16096338,-8002354.9863397
basketball,ball sports,,sherbrooke,québec,5689594.57925728,-8003146.34488504
basketball,ball sports,,sherbrooke,québec,5681563.67038482,-8013092.49674928
baseball,ball sports,,sherbrooke,québec,5683711.17711012,-8019677.24844662
baseball,ball sports,,sherbrooke,québec,5681579.60476568,-8013207.72572154
baseball,ball sports,,sherbrooke,québec,5696387.96277917,-8010652.35809257
basketball,ball sports,,sherbrooke,québec,5682896.54221269,-8004336.15697736
basketball,ball sports,,sherbrooke,québec,5683001.20635284,-8003346.00144484
basketball,ball sports,,sherbrooke,québec,5684645.43300313,-8007892.88974655
basketball,ball sports,,sherbrooke,québec,5689603.64611408,-8003135.29109084
volleyball,ball sports,,sherbrooke,québec,5696649.11839964,-8009330.30711744
basketball,ball sports,,sherbrooke,québec,5683930.66686257,-8003176.10404748
basketball,ball sports,,sherbrooke,québec,5683934.47681119,-8003212.6165719
basketball,ball sports,,sherbrooke,québec,5682373.75314155,-8002545.290069
basketball,ball sports,,sherbrooke,québec,5680677.57704738,-8002869.80496919
basketball,ball sports,,sherbrooke,québec,5676014.63694923,-8019477.69434336
volleyball,ball sports,,sherbrooke,québec,5677480.81546764,-8014876.64993164
basketball,ball sports,,sherbrooke,québec,5682422.04603422,-8012176.93408079
ultimate frisbee,multi-sport,,sherbrooke,québec,5680568.99695149,-8012051.92654831
basketball,ball sports,,sherbrooke,québec,5683395.6055334,-8013061.35983639
basketball,ball sports,,sherbrooke,québec,5670588.90202844,-8017538.32497578
baseball,ball sports,,sherbrooke,québec,5680594.99826466,-7999771.14103679
basketball,ball sports,,sherbrooke,québec,5677772.10353102,-8014953.82480348
pickleball,ball sports,,sherbrooke,québec,5677654.78620498,-8015001.95280809
basketball,ball sports,,sherbrooke,québec,5684562.74249083,-8015790.96464289
basketball,ball sports,,sherbrooke,québec,5680666.66620402,-8002829.20822376
baseball,ball sports,,sherbrooke,québec,5680648.52096013,-8002720.14326566
baseball,ball sports,,sherbrooke,québec,5686832.08659291,-8002619.8905128
basketball,ball sports,,sherbrooke,québec,5686770.74373582,-8010281.63699716
basketball,ball sports,,sherbrooke,québec,5685127.17885903,-8006632.90416746
football,ball sports,,sherbrooke,québec,5680749.48749301,-8007684.79064325
football,ball sports,,sherbrooke,québec,5684929.26687201,-8006582.82916913
baseball,ball sports,,sherbrooke,québec,5683801.98572004,-8000485.61207302
basketball,ball sports,,sherbrooke,québec,5695730.9182931,-8008449.09694454
baseball,ball sports,,sherbrooke,québec,5677522.02534063,-8014953.19484211
football,ball sports,,sherbrooke,québec,5680701.97675752,-8007230.469547
football,ball sports,,sherbrooke,québec,5681374.75009206,-8009353.06502025
football,ball sports,,sherbrooke,québec,5679151.6709256,-7997315.78117302
basketball,ball sports,,sherbrooke,québec,5692929.08822897,-8005748.13043663
baseball,ball sports,,sherbrooke,québec,5682789.89205212,-8004444.02790277
volleyball,ball sports,,sherbrooke,québec,5683828.97063125,-8006852.51669922
baseball,ball sports,,sherbrooke,québec,5688780.36671996,-8001595.30702187
volleyball,ball sports,,sherbrooke,québec,5684667.16482268,-8015804.2537407
basketball,ball sports,,sherbrooke,québec,5683293.6440741,-8016297.52235385
pickleball,ball sports,,sherbrooke,québec,5695761.31941092,-8008460.83099008
pickleball,ball sports,,sherbrooke,québec,5684600.76136026,-8015801.50086177
basketball,ball sports,,sherbrooke,québec,5687302.77005933,-7999736.31918072
pickleball,ball sports,,sherbrooke,québec,5679853.37704054,-7999359.24955254
pickleball,ball sports,,sherbrooke,québec,5687121.67836661,-8005514.41901298
basketball,ball sports,,sherbrooke,québec,5684243.19596351,-8003221.73091381
basketball,ball sports,,sherbrooke,québec,5681059.93442419,-7998744.23569862
pickleball,ball sports,,sherbrooke,québec,5685758.18310119,-7996482.46157681
basketball,ball sports,,sherbrooke,québec,5697987.66875263,-8009220.43842725
pickleball,ball sports,,sherbrooke,québec,5670591.95553954,-8017519.54326767
pickleball,ball sports,,sherbrooke,québec,5670569.31088798,-8017521.2296528
basketball,ball sports,,sherbrooke,québec,5682842.91877927,-8007570.94750494
pickleball,ball sports,,sherbrooke,québec,5682911.17699736,-8007570.3396967
pickleball,ball sports,,sherbrooke,québec,5680709.62586891,-8002837.8762918
pickleball,ball sports,,sherbrooke,québec,5684679.810107,-8007899.69700618
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le plateau-mont-royal,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le plateau-mont-royal,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le plateau-mont-royal,,
sports,multi-sport,soccer à 11,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le plateau-mont-royal,,
sports,multi-sport,soccer à 4-5,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 4-5,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,jeux d'eau,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,pastille - basketball,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,patinoire 4 saisons,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,fer / galet,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer sous-terrain à 7,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer sous-terrain à 7,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,soccer sous-terrain à 7,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,jeux d'eau,montréal,rivière-des-prairies-pointe-aux-trembles,,
outdoor,multi-sport,abri soleil,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,montréal-nord,,
recreational,multi-sport,jeux d'eau,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
sports,multi-sport,tennis,montréal,lasalle,,
recreational,multi-sport,jeux d'eau,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,rivière-des-prairies-pointe-aux-trembles,,
